section,question,answer
Week 1,City-State,"An independent sovereign city that serves as the primary hub of political, economic and cultural life within its contiguous territory. It became the standard form of polity in Italy during the Early modern Period."
Week 1,Erasmus,"A Dutch humanist who was the greatest scholar of the northern Renaissance, the first editor of the New testament and an important figure in patristics and classical literature. He helped lay the groundwork for the historical-critical study of the past."
Week 1,Humanism,"Movement that disapproved of superstitious aspects of popular religion and expressed frustration with clerical abuses. A humanist as a teacher of the humanities, focussed on rhetoric and the renaissance as the ‘discovery’ of man."
Week 1,Johannes Gutenberg,Led the way to a mechanical mass reproduction of a myriad of printed goods. Defining moment in 1454-55 with the printing of the Gutenberg’s bible.
Week 1,Patronage,"The support, financial aid, or influence provided by an individual or organization to another. Some women acted as patrons of the art, subjects expected to receive patronage from ruler."
Week 1,Printing Revolution,The idea that through the invention of the printing press and the increased ease in acquisition of knowledge constituted a revolution.
Week 1,Signori,"Overthrew republican regimes in Italian city states, almost all drawn from Italian nobility. Their survival depended on the support of noble families."
Week 1,Thomas Moore,English writer and poet
Week 2,Agricultural revolution,"Classically dated to the 18th and 19th centuries, the improvement of yield-seed ratios with the advent of new crops and the shift away from permanent husbandry, as well as increasing quality and efficiency of production."
Week 2,Enclosure,The appropriation of common land by enclosing it and depriving commoners of their traditional rights of access and usage.
Week 2,Extended family,"A family that extends beyond the nuclear family of parents and their children to include aunts, uncles, grandparents, cousins or other relatives all living nearby or in the same household."
Week 2,Guild,A professional association of artisans and merchants who oversee the practice of their craft/trade in a particular territory.
Week 2,Industrious revolution,A period in early modern Europe lasting from approximately 1600 to 1800 in which household productivity and consumer demand increased despite the absence of major technological innovations that would mark the later Industrial Revolution.
Week 2,Little Ice Age,"A period of wide-spread cooling that lasted from the end of the Medieval Warm Period in the 14th century, until the present-day warming effect."
Week 2,Mercantilism,An economic theory and practice common in Europe from the 16th to 18th century that promoted governmental regulation of a nation’s economy for the purpose of augmenting state power at the expense of rival national powers.
Week 2,Nuclear family,"A household consisting of two parents and their children, regarded as the basic social unit."
Week 2,Putting-out system/proto-industrialization,"A pre-industrial method of manufacturing where merchants provided raw materials to rural households, who processed them into finished goods in their own homes and were paid by the piece."
Week 2,Sodomy,Any sexual act involving the sex organs of one person and the mouth or anus of another
Week 3,Anabaptists,Believers with a sharp eschatological edge that were identified mainly by their opposition to infant baptism and would opt out of the obligations to wider society.
Week 3,Confessionalization,"Referring to the process by which both Protestant and Catholic rulers sought to create more unified, obedient and ‘modern’ societies."
Week 3,Consistory,A body which was primarily set up to resolve disputes and to discipline wayward members of the community.
Week 3,Conversos,"A Jew who converted to Catholicism in Spain or Portugal, particularly during the 14th and 15th centuries, or one of their descendants."
Week 3,Council of Trent,"The 19th ecumenical council of the Roman Catholic Church, held in three parts from 1545 to 1563. It was prompted by the reformation and was a key part of the Catholic counter-reformation."
