section,question,answer
Mock,"What was the limes, and where was it situated in the Low Countries?","The border of the Roman Empire, with the river Rhine in the Low Countries as the northern border."
Mock,What relationship did Rorik the Dane have with the Frankish princes during the 9th century?,"From 840, Rorik held several parts of Frisia as fiefs from the Frankish princes in exchange of political and military support."
Mock,"When did the Battle of Ane take place, and what is the significance of this battle?",In 1227. The bishop of Utrecht lost his authority / prestige in Drenthe and Groningen.
Mock,Who was the predecessor of Duke Philip the Good in the County of Holland?,Jacqueline of Bavaria
Mock,Which religious idea led adherents of the Modern Devotion to criticise the Church?,They stressed people’s personal experience of the faith and rejected the Church’s exterior religion.
Mock,"Which group of Protestants did the Habsburg regime prosecute the most in the Netherlands during the 16th century, and why particularly this group?","The Anabaptists, because of their violent capture of Munster (and/or attempts in Amsterdam, near Bolsward) and / or their refusal to follow the secular authorities."
Mock,"In what year was the Dutch West-Indian Company founded, and why was this company founded in this year and not earlier?","In 1621. The Republic had agreed with Spain not to establish a trading company in the Atlantic area / the West Indies during the Twelve Years’ Truce, which ended in 1621."
Mock,"What did Jan Adriaensz. Leeghwater achieve during his career; in other words, what did he contribute to the history of the Netherlands?","During the 17th century, he developed the draining technique (with mills) to reclaim land, e.g. the Beemster polder."
Mock,Mention one of the main reasons for the riots of 1748.,"The tax farming system, which had exploited the people very much, and dissatisfaction because of the regents’ abuse of power."
Mock,"What was the direct consequence of stopping Wilhelmina of Prussia in 1787 at Goejanverwellesluis, at the border of the provinces of Utrecht and Holland?","Her brother, the King of Prussia restored the Stadtholder in his position, and the Patriots lost their struggle."
Mock,Explain the name of the ‘Batavian Republic’. In which years of Dutch history did this republic exist?,"It is a reference to the Batavian tribe, which rebelled against the Romans. It existed from 1795 to 1806. (1801 is also correct, when the Batavian Commonwealth is considered as its successor.)"
Mock,How did the position of the Second Chamber change from the 1815 constitution to the 1848 constitution?,The electorate chose its more powerful members directly from 1848; before the Provincial States had chosen them.
Mock,"Who became famous for his criticism of Dutch colonial rule in the Dutch (or Netherlands) East Indies in the second half of the 19th century, and how did he present his criticism?","Eduard Douwes Dekker (or his pseudonym Multatuli), who wrote the novel Max Havelaar to criticize the Dutch colonial rule (with the Cultivation sysem)."
Mock,Mention two problems the Netherlands faced during the First World War.,"Many refugees from Belgium, including British soldiers; continuation of trade with the belligerents; shortage of products; the Zuiderzee flood."
Mock,"Who was Hendrik Colijn, and to which political party did he belong?","He was prime minister of several cabinets during the 1930s and he belonged to the ARP (=Anti-Revolutionary Party). [He was also prime minister in 1925-6, but this is not necessary to mention.)"
Mock,Why did it take several years before the Netherlands accepted the independence of Indonesia after the Second World War?,"Many leading Dutch politicians wished the continuation of the Dutch colonial empire, because they expected a lower international prestige when they would lose Indonesia."
Mock,When and why did ‘coffee shops’ become a typical Dutch phenomenon?,"During the 1970s, when the Dutch government tolerated the sale of cannabis / soft drugs."
Mock,What is the meaning of the term ‘Hollanditis’?,"The Dutch protests against nuclear weapons, which were copied in other European countries."
Mock,Why is the period 1994-2002 known as the ‘purple years’ in Dutch political history?,"In these years, the Dutch coalitions were formed by the liberals of VVD (blue), and the socialists of PvdA (red). Blue and red makes purple. (The green of D66 did not alter this color.)"
Mock,Why have most Dutch political parties refused to collaborate with Geert Wilders over the last decade?,"Because of his radical (rather racist) views against Muslims and refugees(, and, although less, his wish to leave the European Union)"
Multiple Choice,The government of the city was controlled by the guilds in the Northern Netherlands in the 15th century.,False
Multiple Choice,"Many people were inspired by saints during the fifteenth century. In 1461, a saint was bricked up in a local church in Utrecht. From there the saint prayed for and talked to the poor until the saint’s death at the age of 87. What was the name of this saint?",Sister Bertken
Multiple Choice,The Burgundian Duke Philip the Good tried to centralize his empire in various ways. Which measure did he NOT take?,The introduction of obligatory military service
Multiple Choice,What was written in the Treaty of Venlo in September 1543?,The duchy of Guelders was surrendered to Charles V
Multiple Choice,Which statement about Antwerp is CORRECT?,Merchants from Antwerp used the harbour facilities of Middelburg in the 16th century
Multiple Choice,"From the tenth to the fifteenth century, Flanders constituted the chief power in the Low Countries. Flanders had an enormous influence on cities within what is now the Netherlands. One sign of the Flemish influence on present-day Holland was the replacement of the original language in Holland for dialects from the southern parts. Which language was driven out of Holland by these Flemish influences?",Frisian
Multiple Choice,What was the permanent capital of the Habsburg Netherlands from 1531 onwards?,Brussels
Multiple Choice,Which anabaptist leader renounced the violent approach of the Anabaptist movement in the 16th century and made sure that the Anabaptist movement survived in the Low Countries?,Menno Simons
Multiple Choice,What was the direct motivation for the Pacification of Ghent in November 1576?,The Spanish Fury
Multiple Choice,John Calvin developed Calvinism in the city of Tours.,False
Multiple Choice,Following which of Philip II’s decisions did William of Orange write is Apology?,Philip II had outlawed William of Orange
Multiple Choice,"In the search for a new sovereign to replace Philip II, several people have been mentioned. Who does NOT belong in that list?",Johan van Oldenbarnevelt
Multiple Choice,What innovative measure did Maurits of Nassau take with regard to the army?,"When there was no battle to fight, the soldiers were not allowed to go home"
Multiple Choice,The Republic’s refusal to stop the trade with the East Indies prevented the Spanish government from granting diplomatic recognition to the government of the Republic in 1609.,True
Multiple Choice,The Dutch population consisted for a great part of migrants during the period known as the Golden age. A large group of Sephardic Jews arrived in Amsterdam at the end of the sixteenth century. Where did this large group of Sephardic Jews originally come from?,Iberia
Multiple Choice,"He is considered the greatest poet-playwright of the Netherlands to this day. He wrote twenty-six tragedies, of which the most famous was Gijbrecht van Aemstel, its subject the ostensible enemy of Count Floris V and hero of Amsterdam. He was part of the so-called Muider Circle, a group of artists and writers that regularly met at the Muiderslot. Who is this description about?",Joost van den Vondel
Multiple Choice,Amsterdam had a university in the 30s of the 17th century?,False
Multiple Choice,The Republic took over Brazilian Recife from the Portuguese in 1630. By appropriating these territories the Republic gained a monopoly on the European market for a certain product. What was this product?,Sugar
Multiple Choice,"In November 1650 the Holland stadtholder died of smallpox. After this, Holland quickly decided that the position of stadtholder would remain indefinitely open. All the other provinces, except for Friesland, Groningen and Drenthe, followed Holland in not appointing a stadtholder. Which stadtholder died of smallpox in November 1650?",William II
Multiple Choice,In the Act of Seclusion it was agreed that William III could never become stadholder of a province in the republic.,False (although it is close so like idk why this option is it)
Multiple Choice,"Who did not attack the Republic in 1672, a year also known as the ‘Year of Disaster’?",Brandenburg
Multiple Choice,The French emissary Melchior de Polignac made a statement during the peace negotiations in Utrecht in 1713 that excellently summarizes the international position of the Republic in the 18th century. What is this statement?,"We negotiate over you, at you, without you"
Multiple Choice,Which provinces did William IV gain in 1747 as stadtholder?,"Holland, Zeeland, Utrecht, Overijssel"
Multiple Choice,Half of the population of Leiden was dependent on poor relief by the end of the 18th century?,True
Multiple Choice,"The American Revolution led to different reactions in the Dutch republic. There were many who were fundamentally opposed to the revolution, because they rejected resistance to law and order. Nevertheless, there were also people who had no problems with the American Revolution. Who does NOT belong In this list of supporters of the American Revolution?",The Stadtholder
Multiple Choice,Which group could be elected for the first time in the National Assembly in 1796?,Jews
Multiple Choice,When did the Netherlands get its first written constitution?,1798
Multiple Choice,Who became the right hand of Napoleon Bonaparte in the Netherlands in 1804?,Rutger Jan Schimmelpenninck
Multiple Choice,What is NOT true about King Willem I,"Willem I fought in the Battle of Waterloo and got injured, which gave him a heroic status (that was his son)"
Multiple Choice,When did the Netherlands recognise Belgian independence?,1839
Multiple Choice,Which statement about the constitution of 1848 is NOT true?,The right to vote was extended by the constitution of 1848
Multiple Choice,With what political movement is Johan Rudolf Thorbecke usually associated?,Liberalism
Multiple Choice,"Which term do the Dutch use for the schism in the Dutch Reformed Church in 1886, which led to a new, more dogmatic, reformed church?",Doleantie
Multiple Choice,When did the Dutch parliament accept Van Houten’s Child Labour’s Act?,1874
Multiple Choice,"Who designed, in the second half of the nineteenth century, many Catholic Churches, which can be seen as  a symbol for the increasing public presence of Catholics in that period?",Pierre Cuypers
Multiple Choice,What was the Cultivation System?,A tax system in natura in the Netherlands (or Dutch) East Indies
Multiple Choice,Who wrote the book Max Havelaar?,"Eduard Douwes Dekker, Multatuli"
Multiple Choice,When did the First Atjeh War take place?,1873
Multiple Choice,What is NOT true about the colony of the Netherlands East Indies?,Slavery was abolished in this colony in 1863
Multiple Choice,What is NOT an example of the Dutch pioneering role in the field of international law?,Support for the Boers in their fight against the British
Multiple Choice,After how many days did the Netherlands capitulate in 1940?,5 days
Multiple Choice,Who became Reichskommissar of the Netherlands in 1940?,Arthur Seyss-Inquart
Multiple Choice,"What was the name of the organization, founded in 1940, that tried to renew Dutch society by breaking with old religious and ideological divides?",Nederlandsche Unie
Multiple Choice,"Which political party was founded in 1946 as a merger of the socialist SDAP, the Liberal Democratic Union and the Christian Democratic Union?",Partij van de Arbeid
Multiple Choice,What is NOT true about the Marshall Plan?,The Marshall plan was introduced in 1946
Multiple Choice,"What is the title of the report by the Club of Rome, published in 1972, in which they warn of the consequences of the exhaustion of natural resources?",Limits to growth
Multiple Choice,Who was the first Socialist prime minister of the Netherlands?,Willem Drees
Multiple Choice,Which group did Roel van Duyn lead?,Provo
Multiple Choice,Within which political party arose the renewal movement in the 1960s called ‘Nieuw Links’?,Partij van de Arbeid
Multiple Choice,What was the goal of the Wassenaar Agreement in 1982?,Ending the increasing unemployment in the Netherlands
Multiple Choice,Which political party delivered two prime ministers in the Netherlands between 1982 and 2020?,CDA (Lubbers & Balkenende)
Multiple Choice,What is NOT true about the Socialist Party?,The Socialist Party has not been active in provincial and municipal administration
Multiple Choice,What was the nickname of the Wim Kok coalitions?,Purple
Multiple Choice,Which Dutch UN peacekeeping force has been the most dramatic since the Second World War?,Bosnia (Dutchbat)
Multiple Choice,Which Dutch politician left the VVD and started his own political party in 2006?,Geert Wilders
Multiple Choice,Which of these periods had the strongest population growth in the Netherlands?,1900-1950
Multiple Choice,Which reason is NOT true concerning the relatively late development of a railway system in the Netherlands?,The Dutch kings did not like railways
Multiple Choice,What is the name of the series of dams and water barriers that were put into place after the North Sea Flood of 1953?,Delta Works
Multiple Choice,What have been typical Dutch export products over the 20th and 21st centuries?,"Water technology, dairy products, bulbs"
Multiple Choice,Why did many farmers leave the Netherlands in the late 1940s and the 1950s?,They could not cope with the scaling in the agricultural sector
Essay,What caused Dordrecht to lose its central economic position in the international trade network after 1421?,St. Elizabeth’s flood fundamentally altered the local geography and disrupted shipping privileges
Essay,Geert Groote proclaimed a certain spirituality as a criticism of the ‘worldly’ habits of the Roman Catholic Church at the end of the 14th century. What is this movement called and what did it entail?,"Devotia moderna
Inwards spirituality, personal piety and imitation of Christ"
Essay,Why could Charles V rule Friesland more tightly than most of his other territories?,"Because he conquered it, which eliminated traditional privileges and local authorities"
