section,question,answer
Lectures,Who came up with the constructivist understanding of space?,Henri Lefebvre
Lectures,In which book did Henri Lefebvre come up with the constructivist understanding of space and what year?,"La Production de L’espace, 1974"
Lectures,Why is space radically historical?,Because it is always a part and a product of history
Lectures,What is space made up of in the constructivist understanding?,"Technologies, ways of thinking, ways of doing things, power hierarchies, physical space, “etc”"
Lectures,How does John Tomaney define regions?,“Historically contingent social constructions”
Lectures,What is region related to according to Tomaney?,"Cartographic, Economic, Cultural and Ecological"
Lectures,How can we study the history of regions?,1. Analyse (historical) factors facilitating human reflections 2. Try to understand how regions evolved in relation to each other
Lectures,What were the 3 layers of history according to Braudel?,"1. ‘Structure’: almost timeless history of the environment.2. ‘Conjuncture’: economic system, states, societies & civilisations3. ‘Événement’: history of events, the “actions of individual men"
Lectures,Who came up with the “Five mediterraneans”?,Abulafia
Lectures,Who gave the definition for how to define a maritime region?,Proceed case by case – Michael Pearson
Lectures,Who focused on Anarchist history and Zomia?,James C. Scott
Lectures,What’s Zomia?,"A Southeast Asia mainland massif, a region defined by altitude with communities struggling against central authorities"
Lectures,Why was their a renaissance of border studies since mid-1990s?,Because it was the end of the Cold War
Lectures,What was the narrative around borders after the Cold War?,That borders would become less significant over time
Lectures,Borders,"Separate the political, social, economic, legal or cultural meaning of one geographic space from another; they create and differentiate places"
Lectures,Boundaries,"(imagined) limits of groups, communities and other collectives"
Lectures,Territory,The jurisdiction of countries or states
Lectures,Territoriality,"The means by which human beings create, communicate, and control geographical spaces"
Lectures,Interpretation of borders since the 19th century?,Nation states as natural containers that divide to globe into distinct societies
Lectures,Primordialist approach to borders?,"Clearly defined social groups “instinctively” seek territorial control, boundaries of the nation-state mark ethnic, cultural, racial etc boundaries"
Lectures,Historical mapping (after WWI),How have state borders evolved and why? What are their functions in domestic and international relations? Where exactly are the borders?
Lectures,Functional-political approached (after WWII),How exactly do borders and boundaries function? How do state borders protect state sovereignty and national security? How do globalisation processes transform state borders?
Lectures,Contemporary/constructivist interpretations of borders,"Distinctions are not the result of innate categories like ethnicity and race, but are the result of historical processes around unequal power relations."
Lectures,"Who said no natural borders, always social constructions?",D. Newman
Lectures,Bordering (practices),A contested process of constructing borders
Lectures,Etienne Balibor,"Borders are dispersed a little everywhere, wherever the movement of information, people and things is happening and controlled"
Lectures,Steffen Mau,(smart) borders are “sorting machines” creating mobility and immobility at the same time
Lectures,Balbals (deer stones),"Stone sculptures placed around burial grounds, served as guardians"
Lectures,Global city-regions,Distinctive subnational formations whose local character and dynamics are undergoing major transformation due to the impacts of globalization. Many of them are the foci of significant new experiments in local political organization and are now starting to take on definite identity and force as economic and political actors on the world stage.
Lectures,Consequence of (capitalist city regions),Pulling away from their countries – Ben Wilson
Lectures,“City” as a concept,"Dense population concentration, range of economic functions, complex social and political structures, structural influence beyond community borders, a distinct built environment"
Lectures,Role of ships in modern urban history,Connected trade various regions around the globe
Lectures,Ommelanden,"Concept of space to support and sustain the city, what happens around the city also needs to be organized to support the city."
Lectures,Marshall communities,"People with strong physical background and discipline, well-suited for military service."
Lectures,Industrial cities 1750-1850,"First wave of globalisation  British Empire huge impact. Start after the 7 years’ war, some cities gained reputation for artisticness"
Lectures,Industrial cities 1850-1914,"Railways, agricultural problems, more inhabitants"
Lectures,Industrial cities after 1945,"Singapore and Tokyo, rebuilding the cities destroyed in WW2"
Lectures,Border city,"A place that is more or less dependent on the border for its existence. That is to say, it is not just a city located close to the border but also came into existence because of the border (Beursink)"
Lectures,Maquiladora industry,Cheap labour on Mexican side border
Lectures,Monumenta Germaniae Historica,First major collection of sources lay the foundation for the expansion of empirical history
Lectures,Reasons for establishment of transnational history?,"Tried to deconstruct the US “exceptionalism” and history of the America’s beyond the nation for scholars of Spanish history, in Germany to unsettle the narrative of the German Sonderweg"
Lectures,Transnational history,"Does not deny the existence of nations and the roles they play. The intricate interrelationship between nations and transnational existences, between national preoccupation and transnational agendas, or between national interests and transnational concerns is of fundamental importance to the study of transnational history."
Lectures,Métissage,Forms of cultural mixture beyond two cultures assumed to be stable/homogenous
Lectures,Root causes of transfer,Pull and push factors
Lectures,Ecology,Ecology is the study of relationships between organisms and their environments: the places where they live and the relationships that sustain them (Haeckel)
Lectures,Mycogeography,Study of the movement of mushrooms
Lectures,Matsutake connected economic regions?,Global market in between diaspora communities and migration to Canada and US
Lectures,Why mushrooms worldbuilders?,Can facilitate genetic mutation by facilitating genetic mutation in other organisms in order for symbiotic relationship to be beneficial
Lectures,Theoretical-Conceptual lessons from the mushrooms,The problematic conceptual separation between culture and nature and the entanglement of human and non-human forms of life
Lectures,How do historians need to adapt their ideas of history to include mushrooms?,Human progress is not identical with the control & command of natureMove away from the (sole) focus on human agencyAnalyse at landscapes damaged and destroyed by man
Lectures,Mushrooms agency?,"Historians tend to reduce agency to intention, which mushrooms do not have, but if broader understanding of broader impact on life on the planet and call that agency mushrooms do have it."
Lectures,History of the “pluriverse”,From the diversity of human worlds to the worlds of all beings
Lectures,"Humans do make their own history, but",They do not make it as they please because ecology would not let them
Lectures,Rivers as “places,"Rivers do not make history like humans, but they create circumstances prior to/for humans"
Lectures,Civilizing mission?,"Used to justify the ugly sides, entitled to it because they thought what they brought was worth more, construction of civilisational hierarchies among regions"
Lectures,Two consequences to civilizing mission,"Western centrism of agency, concepts we have been using as historians"
Lectures,What does John Darwin argue in After Tamerlane,In order to understand the rise of European imperialism we need to look at how Asian communities had prepared the ground for European arrival
Lectures,T-in-O map,"Shows us where our notions of region come from, Jerusalem in the middle of the map, religion, three sons of Noah, three regions, world gets biblical personalities, America just integrated into it"
Lectures,Pachakuti,"Total disruption space and time, revolution in reverse, centres of space destroyed, different terminology"
Lectures,Ecumenical history,Entails that the community of scholars distance itself from such distortions of the global past. This term “ecumenical” connotes the aim of negotiating difference within a certain unity.
Lectures,Paul Zeleza,"From world history to human history, whole career of humans as a species Africa more prominent"
Lectures,Achille Mbembe,Came up with Afropolitanism (partially) and dislikes Pan-Africanism and African exceptionalism
Lectures,Afropolitanism,"A way – the many ways – in which Africans, or people of African origin, understand themselves as being part of the world rather than being apart"
Lectures,Two trends in popular historiography on Africa,History of humanity since its birth or Africa as integral part of global affairs
Lectures,Three historiographical traditions in Latin America,"History from below, Latin America & the world economy, regional development as underdevelopment"
Tomaney,New Regionalism,In which regions/states gained a greater political prominence and a new economic status
Tomaney,Possibilism,From this perspective regions were viewed as embodying a personality and given a value
Tomaney,Cultural landscape,With culture  as the agent and nature as the medium in production of the region
Tomaney,Quantitative revolution,"In geography chimed with changed in state and society and industrial countries, including the growth of the state planning functions and increased interregional and international flows."
Tomaney,Marxist approaches to region,"Situated the region within the context of class relations of capitalist political economy. Regional change is not just an outcome of economic and social change, but is integral to it."
Tomaney,Humanist geographers on region,drew on perspectives from the humanities to emphasize the importance of human agency in the production of regions  concerned with the meanings that people attach to particular regions
Tomaney,Post-structuralism on region,"Focusses on language and the degree to which meaning is produced within rather than reflected through language, concerned with deconstructing the discourse surrounding the region in order to undo any claims concerning its coherence"
Tomaney,Daily urban system (DUS),"Describes the pattern of labour market activity within a functional region on a typical working day, but has been extended"
Tomaney,Genre de vic,Another way of describing the region as cultural identity
Tomaney,Balkanization,Term used to describe the fragmentation of national territories into competing subnational territories
Tomaney,Notions of regions replaced by the idea of?,Regional assemblage
