section,question,answer
Timeline,1215: Fourth Lateran Council,Dealt with the issue of transubstantiation and made the requirement for all Catholics to make at least one confession a year. Jews and Muslims living in Christin territories should also wear special dress.
Timeline,1262: Venice establishes a ‘national debt’,"Did this because they mainly traded by sea, which required the development and maintenance of a large navy, which was very expensive and carried high levels of risk for the state. The national debt allowed the government to tap into the resources of individual citizens (risk spread in case of failure)."
Timeline,1414: Council of Constance,"Convened between 1414 and 1418, tasked with healing the Great Schism in the Catholic Church. It forced the resignation of three antipopes, and elected a new pope. Also reacted against reforms proposed by Jas Hus."
Timeline,1420: Treaty of troyes,"An important milestone of the Hundred Years’ War, this treaty was an agreement that Henry V of England would succeed to the French throne upon the death of Charles VI of France. Attempt to secure an end to the dynastic struggles between England and France. Charles VI agreed to marry his daughter to Henry V."
Timeline,1453: Ottoman conquest of constantinople,"Led by Sultan Mehmed II, deployed skillful use of archery. The fall of the city meant that the approached to central Europe lay open to invasion and Ottoman armies eventually reached the walls of Vienna."
Timeline,1454: Gutenberg Bible Printed in Mainz,Using movable type at a speed not seen before. Proved that printed material could have widespread appeal and helped herald a revolution in how information and ideas were transmitted.
Timeline,1476: William Caxton Sets up first Printing Press in England,"Brought the knowledge he gained from Gutenberg back to England. Had a significant influence on the English language, as printed an widely disseminated material helped the process of standardizing the English language."
Timeline,1479: Gentile Bellini sent to paint Ottoman sultan Mehemed II,"Sultan Mehemed II was eager to have greater cultural contact with Italy, Bellini was sent to paint his portrait in an effort to secure diplomatic capital. Helped spread information about and generate interest in the Ottoman empire at a time when it was seen as foreign and extremely hostile."
Timeline,1485: Henry Tudor defeats Richard II of England at Bosworth field,Final major battle of the War of the Roses. Richard had gained the English throne after the death of his older brother Edward IV and his nephews. Supporters of the House of Lancaster rallied behind Henry Tudor. Richard was killed in combat (his army had more people but they were bad at fighting.)
Timeline,1494: Treaty of Tordesillas,Commercial and political agreement between the kingdoms of Aragon and Castile and Portugal. The Treaty formalized the details of a papal bull issued the year before that had given control of the Americas to Aragon and Castile and Africa and India to Portugal. (this was then changed to longitudes)
Timeline,1495: charles VIII enters Naples,"An event of the Italian Wars. King Charles VIII of France had been promised the throne of the Kingdom of Naples by Pope Innocent VIII to help the latter in his power struggles on the Italian peninsula. Charles led an army into Italy, deposed the king and was crowned."
Timeline,1499: French Conquest of Milan,"By the end of the fifteenth century, Milan’s rulers paid Swiss mercenaries to protect the city. As a part of the Italian Wars, the French were able to defeat these forces and capture the city in 1499. Milan changed hands several times before being acquired by the Spanish Habsburgs in 1525."
Timeline,1508: League of Cambrai,"Worried by the potential long-term problems that a strong Venice could pose. Pope Julius II organized a collation including the Holy Roman Empire, France, Aragon, and many of the Italian city-states. This phase is often referred to as the ‘War of the League of Cambrai’ and continued until 1516. Whilst Venice was dealt short-term set-backs, they were not defeated in the long-term."
Timeline,1509: Battle of Agnadello,"Major battle of the Italian Wars between France and Venice. The French forces under command of King Louis XII were able to defeat two of Venice’s most experienced generals. Forced to retreat, Venice left its possessions in Lombardy undefended and lost much of the territory and influence."
Timeline,1515: France Regains Control of Milan,"Originally conquered by France in 1499, the city had changed hand several times since then. After their expulsion from Lombardy in 1512, the French regrouped and resupplied before capturing the city. Would lose it again but important victory for King Francis I."
Timeline,1516: Jewish Ghetto Established in Venice,"Named after a local foundry and surrounded by walls, similar ‘ghettos’ emerged in other cities. Jews were forced to live within these areas and confined there at night."
Timeline,1517: Luther’s Ninety-Five Theses,Martin Luther’s denunciation of the sale of indulgences by the Catholic Church. Luther saw this practice as being one of the worst in a Church riddled by worldliness and corruption. Luther hoped to prompt reforms that would re-focus the Church on spiritual concerns. Touchstone of fierce debate.
Timeline,1521: Charled V Issues Edict of Worms,"Landmark movement in the development of the reformation, the Edict of Worms was issued by the Holy Roman Emperor Charles V at the Diet held there in 1521. Pope Leo X had excommunicated Martin Luther a few months earlier and ordered secular authorities to put him under the ban. Forbade Catholics from aiding or assisting him on pain of eternal damnation."
Timeline,1525: Battle of Pavia,"Major engagement of the Italian Wars. Fought between French forces under the command of King Francis I and Spanish/Holy Roman Empire forces, the battle was a crushing defeat for France. Francis was taken prisoner and French noble leadership and troops suffered massive losses. The French were forced to retreat across the Alps leaving Milan open to be re-taken by Emperor Charles V. This alarmed many and led to the establishment of the League of Cognac to help contain Spanish ambitions."
Timeline,1526: League of Cognac,"An attempt to contain Charles V’s forces after his decisive defeat of French forces at the Battle of Pavia. Brokered by Pope Clement VII, the League drew together the forces of France, Venice and various Italian city-states. Charles and his forces continued their successes and were able to defeat their adversaries, leading to the fall and sack of Rome in 1527. The League disintegrated in the face of defeats."
Timeline,1527: Sack of Rome,"When Charles’ army reached Rome in the spring of 1527 they laid siege (but morale was low). Eventually, they defeated Rome’s defenders and looted the city. Many were killed and much damage was done. Clement VII was captured by Charles’ troops, but the event embarrassed the Emperor. It also caused Clement in future to steer a political course that did not antagonize Charles."
Timeline,1529: Colloquy of Marburg,"Swiss theologian Huldrych Zwingli was developing a form of Protestantism that differed from Luther’s thinking. Protestant reformers attempted to bring Luther and Zwingli together to resolve their differences. It was the only time Luther and Zwingli met whilst the two were able to agree on many issues, they were not able to reach an agreement on the Eucharist. The result was 2 different denominations."
Timeline,1529: Ottoman Forces Lay Siege to Vienna,By the early sixteenth century Ottoman armies had moved through Hungary and they reached Vienna by 1529. This caused panic in Christian Europe as it was felt that should Vienna be captured then the rest of the continent would fall to the Ottomans (led by Sultan Suleiman I). They were resisted by Imperial forces and troops of Bohemia and Spain. Vienna was besieged by the Ottoman forces in the fall of 1529 but poor weather and vulnerable supply lines forced them to withdraw. Represented the maximum extent of their expansion into Europe.
Timeline,1529: Protestation of Speyer,"In a reaction to the Edict of Worms (1521), six Protestant princes of the Holy Roman Empire and 14 free cities petitioned the Diet, during its meeting at Speyer, to lift the ban on Martin Luther and argued for the unhindered spreading of Luther’s works and teachings. Gave name to Protestants. Highlighted growing acceptance of the Reformation’s criticism of the Roman Catholic Church."
Timeline,1530: Ausburg Confession,"Luther’s followers made a formal submission to the Imperial Diet at Ausburg in an attempt to justify their position. It contained 21 articles considered fundamental to the Christian faith and seven condemning Catholic errors. Following its rejection by Charles V, the religious division within the Empire became more formalized. Fundamental statement of Lutheran beliefs and was incorporated into the Formula of Concord (1580)."
Timeline,1534: Anabaptist takeover of Münster,"Several branches of this radical Protestant group had emerged from the 1520s. Their followers sought to return to a primitive version of Christianity and practiced adult baptism. They attempted to create a new Jerusalem in preparation for the second coming of Christ. Retaken in the summer of 1535, the rebellion’s leaders were tried and executed."
Timeline,1535: Charles V Captures Tunis,"Then under control of the Ottoman empire, the campaign was successful and Spanish/Holy Roman Empire troops sacked the city. It also became apparent from evidence found in the city that the French had been providing arms to Ottoman forces. The defeat advanced negotiations between the Ottoman empire and France who eventually agreed to a commercial treaty."
Timeline,1541: Ottomans Retain Algiers,"Holy Roman Emperor Charles V organised a campaign to take Algiers, another strategically important north-African territory under Ottoman control. This attempt was a disaster with considerable loss, nearly cost Charles his life and ended his practical ambitions to gain further territory in north Africa. The victory also stabilized Ottoman forces in the region."
Timeline,1545: Council of Trent,"Summoned by Pope Paul III to deal with the issues exposed by the Reformation. The council addressed perceived abuses, such as the sale of indulgences, but also re-affirmed key pillars of Catholic doctrine, the primacy of the Pope and the spiritual authority of the Church. This strengthened episcopal control."
Timeline,1547: Battle of Mühlberg,"Fought in Saxony between Imperial troops and the armies of the League of Schmalkalden. The Emperor captured the leading Protestant commanders. It ended the league, but Charles was unable to stem the rise of Protestantism or bring the members back into the fold of the Catholic Church. Led to the interim and eventual the peace of Ausburg."
Timeline,1548: Interim of Ausburg,"Decree of the Holy Roman Empire’s Imperial Diet dealing with Emperor Charles V’s victory over the League of Schmalkalden. It attempted to force Protestants back into the Catholic Church, the Interim actually started to legally enshrine elements of Protestantism and stands as an important milestone on the road to the legitimisation of Protestantism as a valid stand of Christianity."
Timeline,1552: France captures Metz,"French King Henry II pursued the aggressive military policy against Charles V. This involved capturing the independent cities of Metz, Toul and Verdun (bordered strategic positions on to borders of the French kingdom). By capturing them, an event secured at the Battle of Renty in 1554, Henry was able to further secure his kingdom and make it more difficult for Charles’ forces to mount campaigns into France."
Timeline,1555: Religious Peace of Ausburg,A treaty that formally ended the War of the League of Schmalkalden. Ferdinand I became Holy Roman Emperor. The Peace recognised Lutheranism as the sole Protestant confession allowed within the Empire. The failure to accept Calvinists and other non-Lutheran Protestants led to conflicts in the Empire and ultimately contributed to the outbreak of the Thirty Years War.
Timeline,1559: Genevan Academy founded,Became an important model of clerical education and a source of countless preachers helping to spread Calvinist teaching across Europe.
Timeline,1559: Peace of Cateau-Cambrésis,Treaty that officially ended the Italian Wars. The peace conference saw Henry II of France and Philip II of Spain agree to terms delineating spheres of influence and areas of control for both countries in respect to the Italian states. Only Venice and Savoy retained any form of independence from foreign powers. The Peace was also notable for the death of the French King Henry II.
Timeline,1563: Academy of Art Founded in Florence,"Founded by Florantine ruler Cosimo I de’Medici. Served as a training centre and trade guild for active artists as well as a meeting place and social area for eminent artists. Its model had significant influence on other national art movements. Members included many significant artists active in Italy, including Michelangelo."
Timeline,1565: Ottoman Forces Fail to Capture Malta,"The Siege of Malta was a bloody and violent campaign. Malta was of strategic importance, held by Christian Knights since 1530 and was a major political, cultural and economic crossroad in the central Mediterranean. They Knights Hospitaller and Maltese citizens, aided eventually by Spanish and Sicilian forces, held out for nearly 4 months before finally forcing the Ottomans to retreat."
Timeline,1569: Union of Lubin,Established the Commonwealth of Poland-Lithuania.
Timeline,1571: Battle of Lepanto,"A naval battle fought in the Gulf of Corinth (Greece) between the Holy League and the Ottoman fleet. Overall, Ottoman forces had maintained the upper hand, successfully expelling the Venetians from Cyprus earlier in the year and restricting trade generally. Nevertheless, the Holy League secured victory at Lepanto. First naval defeat for the Ottomans in nearly a century."
Timeline,1588: Spanish Naval Armada Defeated by the English,"Prior to the accession of Elizabeth I to the English throne, Philip II of Spain had been co-monarch. As a devout catholic, Philip considered Elizabeth a heretic and thus an illegitimate monarch. In order to regain the English throne, Philip organised a vast invasion fleet called the Armada. Philip and the Catholic world were confident of an easy victory. Poor planning, terrible weather and stiff English resistance caused the Armada to be a total failure. Other military action on the part of the English also prevented the Spanish from coordinating their forces and resulted in the loss of nearly a third of the Spanish ships. Boosted Elizabeth’s reputation."
Timeline,1598: Edict of Nantes Issued by Henry VI,"French King Henry IV had been born Protestant but converted to Catholicism in 1593, following the St Bartholomew’s Day Massacre. He sought to repair damage done to French society by the Wars of religion. The Edict extended official tolerance and political protection of Protestants in France. Protestants were granted many civil rights and were allowed to worship. The edict was revoked by King Louis XIV in 1685."
Timeline,1605: Gunpowder Plot in England,"Attempt to assassinate King James I at the opening of Parliament on 5 November 1605, by detonating a massive explosion in a cellar under the House of Lords. Catholic hopes for toleration had been high upon James’s accession in 1603, when these hopes were disappointed action was planned. Associated with Guy Fawkes, the leader was Robert Catesby. After the plot was discovered, Catesby was killed resisting arrest. Some historians have claimed the plot was set up by chief minister Robert Cecil to discredit Catholics, but this is improbable. Consequences for the English Catholic community was severe  ‘Anti-popery’"
Timeline,1609: Amsterdam Bank Founded,An early attempt to centralize and guarantee banking activities. Operated under the auspices of the city in order to regulate the quality of the money circulating. This provided greater certainty to both merchants and consumers that their transactions were fair.
