section,question,answer
Historical Research,Sources,"Artifacts that provide evidence of the past, that the historian can use to interpret the past"
Historical Research,Primary source,A direct account of the event
Historical Research,Secondary literature/source,"Academic literature about the event, based on the primary event"
Historical Research,Textual sources,"Narrative/literary source, official papers and newspapers and records generated for everyday use, not necessarily meant to become public"
Historical Research,Visual sources,Any informational material from the past that has been conveyed through images
Historical Research,Auditory sources,Any informational sources that have been transmitted via sound
Historical Research,Material sources,Any physical or material artifact from the past
Historical Research,Provenance,"By whom, when and where was the source produced"
Historical Research,Digitized sources,Originally an analogue source
Historical Research,Digital born source,Source that originated online/ as a digital source
Historical Research,The Matthew effect,"Sources that (already) have been digitized are cited more as they are easier to access, leading to them being seen as more important, leading to them being cited more  snowball effect"
Historical Research,Logocentrism,Focus on the written word as the main method for historians to analyse the past
Historical Research,Serial sources,A source or set of sources that provides information on the same topic over a number of years
Historical Research,Quantitative sources,"Sources that can be studied quantitatively, their contain quantitative data"
Historical Research,New Economic History,Movement about using data and data analysis techniques from economics to understand history (controversial)
Historical Research,Data set,Coherent selection of consistent data from the whole range of available data
Historical Research,Sampling,Selecting part of the data
Historical Research,Regression analysis,"Method for understanding the relation between your variables, x-y graph"
Historical Research,Selection bias,Is everything equally reported? Who can make the sources?
Historical Research,Public interest accounting,"Statistics collected for social, political, cultural aims (like CBS)"
Historical Research,History from things,Objects used to reconstruct processes in the past
Historical Research,History of things,Objects as a starting point to research often about the relationship between people and object
Historical Research,The agency of things,"The nature of objects is subjective, so the agency is the social life of things"
Historical Research,The social life of things,"Human actors encode them with meaning in forms, functions and trajectories, things-in-motion reveal a politics of value"
Historical Research,Biographies of an object,The changing meaning and contexts of the item (just like biography of a person)
Historical Research,Archiving,The process of putting historical sources in an archive. What is left out and what is included?
Historical Research,Private archives,"Often not publicly accessible, no standard regulations, voluntary deposit"
Historical Research,State archives,"Obligatory deposit after 20 years, publicly accessible, regulated by laws and legal frameworks"
Historical Research,Structural reasons (for the loss of potential sources),"Much is destroyed, archives’ regulations and selection criteria"
Historical Research,Incidental reasons (for the loss of potential sources),"Creator has not preserved it, vagaries of time, wars, theft, natural disasters"
