section,question,answer
Chapter 1: An Age of Revolution,What were important factors in the reform movement in Ireland in 1779?,Local militias and the volunteer movement
Chapter 1: An Age of Revolution,What was the reform movement in Ireland in 1779 against?,Policies for British imperial interest
Chapter 1: An Age of Revolution,What happened in the Netherlands in 1787?,An invasion that restored the power of the stadtholder
Chapter 1: An Age of Revolution,What happened in Poland in 1788?,Political reform
Chapter 1: An Age of Revolution,What did the reform in Poland in 1788 look like?,"The May 3rd constitution was implemented, and individual veto power was abolished"
Chapter 1: An Age of Revolution,Why was the constitutional experiment in Poland doomed?,"Due to the power of its neighbors, invasion by Catherine the Great in 1792"
Chapter 1: An Age of Revolution,What was the first codified constitution in Europe?,The May 3rd constitution that was implemented in Poland in 1788
Chapter 1: An Age of Revolution,What was the first major defeat of the British in the American Revolution?,The Battle of Saratoga in 1777
Chapter 1: An Age of Revolution,What did the American victory at Yorktown lead to?,The Treaty of Paris in 1783
Chapter 1: An Age of Revolution,What three factors contributed to the crisis of the old regime in France?,"Heavy debts, constitutional constraints, public opinion that envisioned reform"
Chapter 1: An Age of Revolution,In what year did the French King call an “Assembly of Notables” to support him facing down the parliament and proceeding with some changes?,1787
Chapter 1: An Age of Revolution,When was the Estates General notably summoned in France?,May 1789
Chapter 1: An Age of Revolution,What was the biggest problem with the Estates General summoned in France in 1789?,"The voting was by order, which lead to misrepresentation"
Chapter 1: An Age of Revolution,Name a political pamphlet circulating that argued the Third estate deserved enhanced power?,What Is the Third Estate by Sieyes
Chapter 1: An Age of Revolution,On which day was the Bastille stormed during the French Revolution?,"July 14, 1789"
Chapter 1: An Age of Revolution,"What happened on August 4, 1789",The Assembly abolished Feudalism
Chapter 1: An Age of Revolution,What was the initial role the king was given after the declaration of the rights of man and citizen?,"He was given a suspensive veto, which meant formidable power, but was still a curtailment"
Chapter 1: An Age of Revolution,Why did the Women’s March to Versailles happen?,When Louis called troops to Versailles there was a heightened threat of grain shortage. Women were responsible for making their family food.
Chapter 1: An Age of Revolution,What happened to the Catholic Church in the years 1789?,"The untapped wealth of the Church was realized, monasteries were abolished and the land of the Church was declared national property to be sold for the revenue of the state. Government bonds were issued against the sale of Church lands"
Chapter 1: An Age of Revolution,What is the Massacre off the Champ de Mars?,Government troops led by Lafayette fired on citizens in an antimonarchy demonstration
Chapter 1: An Age of Revolution,Why did the members of the newly elected Legislative assembly lack cohesiveness?,"Because they could not be from the National assembly, and it was dominated by members from the Jacobin cub known as the Girondins"
Chapter 1: An Age of Revolution,What was the first country that France declared war on in the Second Phase of the Revolution?,Austria
Chapter 1: An Age of Revolution,What did it mean that the king was forced to wear the liberty cap?,It undermined authority
Chapter 1: An Age of Revolution,Who were the Sans-culottes?,"Literally without knee pants, they were ordinary Parisians in the section assemblies"
Chapter 1: An Age of Revolution,What happened on June 1793?,The Girondins were pushed out by the more extreme Jacobins
Chapter 1: An Age of Revolution,Who murdered Jean Paul Marat?,Charlotte Corday
Chapter 1: An Age of Revolution,What is Terror?,The systematic repression of internal enemies
Chapter 1: An Age of Revolution,What did the Law of Suspects allow?,It allowed citizens to be arrested simply on vague suspicion of counterrevolutionary sympathies
Chapter 1: An Age of Revolution,What nickname did Robespierre receive and why?,“The Incorruptible” due to his unbending loyalty to his political principles
Chapter 1: An Age of Revolution,When was slavery abolished in the French colonies?,February 1794
Chapter 1: An Age of Revolution,What was the Thermidorian reaction and why was it called this?,"It was when the convention reclaimed the executive powers that the Committee of Public safety had seized, and was called this because of the month it began"
Chapter 1: An Age of Revolution,Who attempted a Coup during the time of the Directory?,The “Conspiracy of Equals”
Chapter 1: An Age of Revolution,Why was General Bonaparte invited to help form a government?,Because the government seemed to be losing control over the French countryside
Chapter 1: An Age of Revolution,When did Napoleon invade Egypt?,1796
Chapter 1: An Age of Revolution,What was Napoleon’s government a streamlined version of?,The directory
Chapter 1: An Age of Revolution,Which institution helped stabilize French currency?,The bank of France
Chapter 1: An Age of Revolution,What did the Concordat of 1801 do?,It solved the problem of church-state relations and led to the resumption of Catholic worship
Chapter 1: An Age of Revolution,What added to Napoleon’s legitimacy?,He sought ratification of each stage of his assumption of power through national plebiscites (referendums in which all eligible voters could vote for or against proposals)
Chapter 1: An Age of Revolution,When did Napoleon proclaim the empire?,May 1804
Chapter 1: An Age of Revolution,What led tensions to escalate in 1803?,The British resumed aggression against French shipping and Napoleon began to gather a large force on the northern coast of France with the objective to invade England
Chapter 1: An Age of Revolution,What ensured British mastery of the seas?,When Horatio Nelson inflicted a devastating defeat off Cape Trafalgar in southern Spain
Chapter 1: An Age of Revolution,In which year did Napoleon’s army route a combined Austrian and Russian force near Austerlitz?,1805
Chapter 1: An Age of Revolution,What was the name of the anti-British economy system Napoleon implemented?,The Continental system
Chapter 1: An Age of Revolution,Who exported the French Revolution?,The Napoleonic armies
Chapter 1: An Age of Revolution,What was the problem of the French economy?,The benefits of streamlined administration and taxation were offset by the drain of continual warfare
Chapter 1: An Age of Revolution,What spurred the development of continental industries?,Due to the continent being closed to all British shipping and goods smuggling happened more frequently
Chapter 1: An Age of Revolution,What arrangement did Napoleon back away from concerning Russia?,The agreement to marry one of Alexander’s sisters
Chapter 1: An Age of Revolution,What was the problem with Louis XVIII taking the throne?,He was out of touch and had to pension off thousands of soldiers still loyal to Napoleon
Chapter 1: An Age of Revolution,What year did Napoleon die?,1821
Chapter 1: An Age of Revolution,Which Dutch colony did the British take control over?,Cape Town
Chapter 1: An Age of Revolution,Why did the Revolution on Saint Domingue cause so much fear?,Fear that the financially strapped French government would lose some of its profitable sugar trade
Chapter 1: An Age of Revolution,Who was the most important figure in the Haitian Revolution?,François Dominique Toussaint-Louverture
Chapter 1: An Age of Revolution,In which year was Toussaint Louverture captured?,1802
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What is characteristic of the revolutionary wave Europe experienced in 1848?,Barricades
"Chapter 2: Restoration, Reform and Revolution, 1814-1848",What was the aim of the Congress of Vienna?,Restoration
